Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-43.0,-1.1952,0.45843,0.44381,0.2521,1.0,0.1155
-42.0,-1.1855,0.45192,0.4371,0.2408,1.0,0.1184
-41.5,-1.1794,0.44482,0.42985,0.2356,1.0,0.1215
-41.0,-1.1733,0.44154,0.42644,0.2301,1.0,0.1247
-40.5,-1.1672,0.44029,0.42507,0.2243,1.0,0.1277
-40.0,-1.1611,0.44164,0.42628,0.2182,1.0,0.13
-39.0,-1.1468,0.43551,0.42,0.2069,1.0,0.1336
-38.5,-1.138,0.42802,0.41238,0.2019,1.0,0.1375
-38.0,-1.1297,0.42509,0.4093,0.1964,1.0,0.1415
-37.5,-1.1218,0.42581,0.40992,0.1904,1.0,0.1449
-36.5,-1.1032,0.41718,0.40115,0.1796,1.0,0.1503
-36.0,-1.0928,0.41172,0.39553,0.1745,1.0,0.1552
-35.5,-1.0833,0.41095,0.39468,0.1689,1.0,0.1595
-35.0,-1.0749,0.41537,0.39903,0.1627,1.0,0.1619
-34.5,-1.0621,0.40294,0.38653,0.1582,1.0,0.1658
-34.0,-1.0503,0.39751,0.381,0.1533,1.0,0.1716
-33.5,-1.0402,0.39876,0.38215,0.1475,1.0,0.1762
-33.0,-1.0285,0.39432,0.37768,0.1423,1.0,0.1795
-32.5,-1.0147,0.38568,0.36892,0.1378,1.0,0.1862
-32.0,-1.0037,0.38629,0.36947,0.1323,1.0,0.1917
-31.5,-0.9909,0.38106,0.36418,0.1273,1.0,0.1956
-31.0,-0.9763,0.37341,0.35643,0.1228,1.0,0.203
-30.5,-0.9657,0.37593,0.35892,0.1173,1.0,0.2083
-30.0,-0.9494,0.36493,0.34786,0.113,1.0,0.2147
-29.5,-0.9365,0.3631,0.34598,0.1082,1.0,0.2226
-29.0,-0.9219,0.3573,0.34012,0.1035,1.0,0.2283
-28.5,-0.9073,0.35269,0.33544,0.099,1.0,0.2376
-28.0,-0.893,0.34837,0.33112,0.0944,1.0,0.2438
-27.5,-0.8776,0.3432,0.32589,0.0901,1.0,0.2538
-27.0,-0.8621,0.33743,0.32011,0.0857,1.0,0.2611
-26.5,-0.8484,0.33555,0.31816,0.0814,1.0,0.2715
-26.0,-0.83,0.32621,0.30879,0.0775,1.0,0.2818
-25.5,-0.8168,0.32451,0.30711,0.0732,1.0,0.291
-25.0,-0.8006,0.31945,0.30202,0.0693,1.0,0.3037
-24.5,-0.7817,0.3108,0.2933,0.0657,1.0,0.3159
-24.0,-0.7652,0.30521,0.28772,0.0619,1.0,0.3278
-23.5,-0.7498,0.30113,0.28366,0.0583,1.0,0.341
-23.0,-0.7345,0.29719,0.27974,0.0548,1.0,0.3555
-22.5,-0.7179,0.29195,0.27452,0.0515,1.0,0.3713
-22.0,-0.6996,0.2851,0.26762,0.0484,1.0,0.3883
-21.5,-0.6799,0.27724,0.25976,0.0453,1.0,0.407
-21.0,-0.6608,0.27037,0.25289,0.0425,1.0,0.428
-20.5,-0.6454,0.26653,0.24907,0.0399,1.0,0.4496
-20.0,-0.6255,0.2589,0.24144,0.0372,1.0,0.4715
-19.5,-0.6072,0.25312,0.23566,0.0349,1.0,0.4977
-19.0,-0.5853,0.24477,0.22732,0.0324,1.0,0.5253
-18.5,-0.5652,0.23804,0.22062,0.0302,1.0,0.5554
-18.0,-0.544,0.23092,0.21348,0.0281,1.0,0.5885
-17.5,-0.5224,0.224,0.20657,0.0261,1.0,0.6253
-17.0,-0.5013,0.21753,0.20014,0.0243,1.0,0.665
-16.5,-0.4788,0.21117,0.19377,0.0226,1.0,0.7114
-16.0,-0.4466,0.20053,0.18308,0.0192,1.0,0.7633
-15.5,-0.4154,0.19213,0.17461,0.0158,1.0,0.8243
-15.0,-0.3689,0.17896,0.16133,0.0087,1.0,0.8989
-14.5,-0.3035,0.16265,0.14476,-0.0047,1.0,0.9853
-14.0,-0.2682,0.15271,0.13473,-0.0117,1.0,1.0
-13.5,-0.2486,0.14693,0.12893,-0.0145,1.0,1.0
-13.0,-0.2292,0.14121,0.12322,-0.0172,1.0,1.0
-12.5,-0.21,0.13557,0.11758,-0.0197,1.0,1.0
-12.0,-0.191,0.12999,0.11202,-0.0222,1.0,1.0
-11.5,-0.1724,0.12449,0.10651,-0.0245,1.0,1.0
-11.0,-0.1542,0.11908,0.10111,-0.0268,1.0,1.0
-10.5,-0.1363,0.11374,0.09581,-0.0288,1.0,1.0
-10.0,-0.1188,0.1085,0.0906,-0.0308,1.0,1.0
-9.5,-0.1018,0.10337,0.08549,-0.0326,1.0,1.0
-9.0,-0.0853,0.09835,0.08052,-0.0343,1.0,1.0
-8.5,-0.1575,0.10497,0.08764,-0.0163,1.0,0.9057
-8.0,-0.2176,0.10756,0.09074,-0.0074,1.0,0.774
-7.5,-0.2504,0.10599,0.08955,-0.005,1.0,0.6932
-7.0,-0.2709,0.10255,0.08646,-0.004,1.0,0.6438
-6.5,-0.2916,0.09875,0.08304,-0.0022,1.0,0.612
-6.0,-0.3088,0.09439,0.07906,0.0001,1.0,0.5919
-5.5,-0.3347,0.09034,0.07543,0.0036,1.0,0.576
-5.0,-0.3621,0.08596,0.07144,0.0065,1.0,0.5638
-4.5,-0.375,0.0807,0.06644,0.0085,1.0,0.5616
-4.0,-0.3869,0.07529,0.06119,0.0098,1.0,0.564
-3.5,-0.3823,0.06944,0.05539,0.0104,1.0,0.5778
-2.5,-0.0643,0.04872,0.03311,-0.0337,1.0,1.0
-2.0,-0.1162,0.04534,0.03026,-0.0281,1.0,1.0
-1.5,-0.1226,0.04264,0.02595,-0.0314,1.0,1.0
-1.0,-0.0805,0.043,0.02421,-0.033,1.0,1.0
-0.5,-0.0427,0.04376,0.02357,-0.0327,1.0,1.0
0.0,-0.0063,0.04476,0.02353,-0.0322,1.0,1.0
0.5,0.0292,0.04599,0.02389,-0.0316,1.0,1.0
1.0,0.0637,0.04745,0.02465,-0.0312,1.0,1.0
1.5,0.0972,0.04915,0.02579,-0.0309,1.0,1.0
2.0,0.1294,0.0511,0.0273,-0.0307,1.0,1.0
2.5,0.1605,0.05333,0.02919,-0.0308,1.0,1.0
3.0,0.1901,0.05584,0.03145,-0.031,1.0,1.0
3.5,0.2183,0.05866,0.03409,-0.0315,1.0,1.0
4.0,0.2452,0.06179,0.0371,-0.0321,1.0,1.0
4.5,0.2708,0.06521,0.04046,-0.033,1.0,1.0
5.0,0.2955,0.0689,0.04413,-0.034,1.0,1.0
5.5,0.3194,0.07284,0.04809,-0.0351,1.0,1.0
6.0,0.3427,0.07701,0.05231,-0.0364,1.0,1.0
6.5,0.3656,0.08138,0.05679,-0.0377,1.0,1.0
7.0,0.3881,0.08596,0.06149,-0.0392,1.0,1.0
7.5,0.41,0.09074,0.06642,-0.0407,1.0,1.0
8.0,0.4314,0.09572,0.07163,-0.0424,1.0,1.0
8.5,0.4521,0.10092,0.07704,-0.0442,1.0,1.0
9.0,0.4721,0.10633,0.08271,-0.0461,1.0,1.0
9.5,0.4915,0.11197,0.08866,-0.0481,1.0,1.0
10.0,0.5102,0.11783,0.09481,-0.0504,1.0,1.0
10.5,0.5284,0.12391,0.10123,-0.0528,1.0,1.0
11.0,0.5461,0.13019,0.10783,-0.0554,1.0,1.0
11.5,0.5636,0.13664,0.11459,-0.0581,1.0,1.0
12.0,0.5809,0.14324,0.1215,-0.0611,1.0,1.0
12.5,0.5984,0.14995,0.12855,-0.0642,1.0,1.0
13.0,0.6161,0.15674,0.13564,-0.0674,1.0,1.0
13.5,0.634,0.16359,0.14278,-0.0707,1.0,1.0
14.0,0.6522,0.17048,0.15,-0.0741,1.0,1.0
14.5,0.6706,0.17743,0.15723,-0.0776,1.0,1.0
15.0,0.7015,0.18725,0.16745,-0.0844,0.986,1.0
15.5,0.7409,0.1982,0.1789,-0.0931,0.9454,1.0
16.0,0.7758,0.20975,0.19087,-0.1002,0.9104,1.0
16.5,0.7995,0.2153,0.19674,-0.1044,0.8747,1.0
17.0,0.8247,0.22298,0.2048,-0.1088,0.8423,1.0
17.5,0.851,0.23146,0.21363,-0.1133,0.8058,1.0
18.0,0.8758,0.24016,0.22263,-0.1174,0.7731,1.0
18.5,0.9016,0.25021,0.233,-0.1216,0.7385,1.0
19.0,0.9218,0.25666,0.23966,-0.1248,0.7059,1.0
19.5,0.9423,0.26364,0.24681,-0.1281,0.6735,1.0
20.0,0.9629,0.27078,0.25411,-0.1312,0.6413,1.0
20.5,0.9842,0.27897,0.26246,-0.1346,0.6115,1.0
21.0,1.0069,0.28863,0.27225,-0.138,0.5827,1.0
21.5,1.0229,0.2925,0.27622,-0.1409,0.5569,1.0
22.0,1.0431,0.30104,0.28485,-0.1444,0.5347,1.0
22.5,1.0594,0.30558,0.28948,-0.1476,0.5126,1.0
23.0,1.0806,0.31531,0.29939,-0.1512,0.4919,1.0
23.5,1.099,0.32321,0.30736,-0.1548,0.4741,1.0
24.0,1.1146,0.32805,0.31228,-0.1584,0.4576,1.0
24.5,1.1308,0.33362,0.31794,-0.1622,0.4416,1.0
25.0,1.1473,0.33972,0.32417,-0.166,0.4262,1.0
25.5,1.1641,0.34672,0.33126,-0.1699,0.4115,1.0
26.0,1.1812,0.35439,0.33904,-0.1738,0.397,1.0
26.5,1.1975,0.36131,0.34611,-0.1777,0.3828,1.0
27.0,1.2095,0.36214,0.34704,-0.1821,0.3706,1.0
27.5,1.2231,0.36625,0.35122,-0.1865,0.3597,1.0
28.0,1.2388,0.37375,0.35883,-0.1908,0.3486,1.0
28.5,1.2566,0.38519,0.37041,-0.1947,0.3359,1.0
29.0,1.2662,0.38288,0.36824,-0.1997,0.326,1.0
29.5,1.2802,0.38924,0.3747,-0.2042,0.3172,1.0
30.0,1.2965,0.40005,0.38569,-0.2083,0.3056,1.0
30.5,1.3055,0.3976,0.38329,-0.2137,0.2977,1.0
31.0,1.3208,0.40865,0.39448,-0.2179,0.2886,1.0
31.5,1.3305,0.40769,0.39368,-0.2232,0.2797,1.0
32.0,1.3438,0.41623,0.40235,-0.2278,0.2725,1.0
32.5,1.354,0.41743,0.40369,-0.2329,0.2637,1.0
33.0,1.3661,0.42495,0.41133,-0.2377,0.2572,1.0
33.5,1.3758,0.42623,0.41276,-0.243,0.2488,1.0
34.0,1.3872,0.4342,0.42089,-0.2477,0.2426,1.0
34.5,1.3958,0.43403,0.42087,-0.2533,0.2352,1.0
35.0,1.4077,0.44574,0.43273,-0.2577,0.2289,1.0
35.5,1.4143,0.44184,0.42895,-0.2638,0.2234,1.0
36.5,1.4319,0.45112,0.43857,-0.2742,0.2119,1.0
37.0,1.4399,0.45435,0.44198,-0.2795,0.2049,1.0
37.5,1.4489,0.4638,0.45157,-0.2843,0.2001,1.0
38.0,1.4541,0.46001,0.44793,-0.2905,0.1953,1.0
38.5,1.4621,0.46703,0.45519,-0.2955,0.189,1.0
39.0,1.4686,0.47223,0.46052,-0.3009,0.1857,1.0
39.5,1.4732,0.4693,0.45775,-0.3071,0.1811,1.0
40.0,1.4797,0.47561,0.46426,-0.3121,0.1753,1.0
40.5,1.4853,0.48232,0.4711,-0.3174,0.172,1.0
