Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.0,-1.314,0.02109,0.01647,-0.0287,1.0,0.0117
-11.75,-1.2993,0.02022,0.01551,-0.0262,1.0,0.0121
-11.5,-1.2812,0.01941,0.01461,-0.0242,1.0,0.0125
-11.25,-1.2614,0.01866,0.01377,-0.0223,1.0,0.013
-11.0,-1.2403,0.01798,0.013,-0.0206,1.0,0.0135
-10.75,-1.2188,0.01731,0.01225,-0.0188,1.0,0.0139
-10.5,-1.1971,0.01665,0.01152,-0.0171,1.0,0.0144
-10.25,-1.1743,0.01607,0.01088,-0.0156,1.0,0.015
-10.0,-1.1511,0.01553,0.01028,-0.014,1.0,0.0157
-9.75,-1.1277,0.01505,0.00974,-0.0124,1.0,0.0163
-9.5,-1.1045,0.01459,0.00922,-0.0108,1.0,0.0169
-9.25,-1.0821,0.01411,0.00871,-0.0091,1.0,0.0178
-9.0,-1.0596,0.0137,0.00827,-0.0073,1.0,0.0188
-8.75,-1.0368,0.01334,0.00786,-0.0056,1.0,0.0197
-8.5,-1.0108,0.01294,0.00743,-0.0045,0.9994,0.0207
-8.25,-0.9776,0.01251,0.00697,-0.005,0.9976,0.0221
-8.0,-0.9436,0.01213,0.00657,-0.0056,0.9956,0.0235
-7.75,-0.9091,0.01175,0.00617,-0.0063,0.994,0.0253
-7.5,-0.8763,0.01139,0.0058,-0.0067,0.9912,0.0274
-7.25,-0.8435,0.01107,0.00546,-0.0071,0.9876,0.0294
-7.0,-0.8098,0.01074,0.00513,-0.0077,0.9842,0.0319
-6.75,-0.7779,0.01044,0.00482,-0.008,0.9794,0.0348
-6.5,-0.7461,0.01015,0.00454,-0.0082,0.9735,0.0383
-6.25,-0.7148,0.00987,0.00426,-0.0083,0.9672,0.0419
-6.0,-0.6847,0.00962,0.00401,-0.0081,0.9585,0.046
-5.75,-0.6557,0.00936,0.00376,-0.0077,0.9489,0.0516
-5.5,-0.6272,0.00913,0.00353,-0.0072,0.9376,0.057
-5.25,-0.5993,0.00892,0.00331,-0.0066,0.9245,0.0638
-5.0,-0.5714,0.00871,0.0031,-0.006,0.9099,0.0717
-4.75,-0.5435,0.00851,0.00289,-0.0054,0.894,0.0813
-4.5,-0.5156,0.00832,0.0027,-0.0048,0.8769,0.0921
-4.25,-0.4876,0.00815,0.00252,-0.0043,0.8584,0.1048
-4.0,-0.4594,0.00798,0.00235,-0.0039,0.8391,0.119
-3.75,-0.4312,0.00782,0.00218,-0.0034,0.8187,0.1351
-3.25,-0.3747,0.00753,0.0019,-0.0026,0.7752,0.172
-3.0,-0.3462,0.00739,0.00177,-0.0023,0.7527,0.1932
-2.75,-0.3177,0.00728,0.00165,-0.002,0.7296,0.2146
-2.5,-0.2893,0.00716,0.00155,-0.0017,0.7065,0.2379
-2.0,-0.2318,0.00697,0.00138,-0.0013,0.6604,0.2848
-1.5,-0.1742,0.00681,0.00125,-0.0009,0.6136,0.3337
-1.0,-0.1162,0.00671,0.00116,-0.0005,0.5686,0.3814
-0.75,-0.0872,0.00668,0.00113,-0.0004,0.5446,0.4054
-0.5,-0.0582,0.00665,0.00111,-0.0003,0.5217,0.4291
-0.25,-0.0291,0.00663,0.00109,-0.0001,0.4987,0.4525
0.0,-0.0,0.00663,0.00109,-0.0,0.4751,0.4754
0.25,0.0291,0.00663,0.00109,0.0001,0.4525,0.4983
0.5,0.0582,0.00665,0.00111,0.0002,0.4292,0.5217
0.75,0.0872,0.00668,0.00113,0.0004,0.4055,0.5448
1.0,0.1163,0.00671,0.00116,0.0005,0.3812,0.5679
1.25,0.1452,0.00677,0.0012,0.0007,0.357,0.5904
1.5,0.1742,0.00682,0.00125,0.0009,0.333,0.6136
2.0,0.2319,0.00696,0.00138,0.0012,0.2857,0.6602
2.5,0.2893,0.00716,0.00155,0.0017,0.2379,0.7066
2.75,0.3177,0.00728,0.00165,0.002,0.2144,0.7295
3.0,0.3462,0.00739,0.00177,0.0023,0.1933,0.7527
3.25,0.3747,0.00753,0.00189,0.0026,0.1722,0.7749
3.5,0.4028,0.00768,0.00204,0.003,0.1521,0.7971
3.75,0.4312,0.00782,0.00218,0.0034,0.1351,0.8188
4.0,0.4594,0.00798,0.00235,0.0038,0.1189,0.8391
4.25,0.4876,0.00815,0.00252,0.0043,0.1046,0.8585
4.5,0.5156,0.00832,0.0027,0.0048,0.0922,0.8767
4.75,0.5435,0.00851,0.00289,0.0054,0.0814,0.894
5.0,0.5714,0.00871,0.0031,0.006,0.0716,0.9098
5.25,0.5993,0.00892,0.00331,0.0066,0.0638,0.9245
5.5,0.6273,0.00913,0.00353,0.0072,0.057,0.9376
5.75,0.6558,0.00936,0.00376,0.0077,0.0516,0.9487
6.0,0.6847,0.00962,0.00401,0.0081,0.046,0.9585
6.25,0.7148,0.00987,0.00426,0.0083,0.0419,0.9673
6.5,0.7462,0.01015,0.00454,0.0081,0.0383,0.9736
6.75,0.7779,0.01044,0.00482,0.0079,0.0348,0.9795
7.0,0.8099,0.01074,0.00513,0.0077,0.0319,0.9843
7.25,0.8436,0.01107,0.00546,0.0071,0.0294,0.9877
7.5,0.8764,0.01139,0.0058,0.0067,0.0274,0.9913
7.75,0.9092,0.01175,0.00616,0.0063,0.0253,0.994
8.0,0.9437,0.01213,0.00657,0.0056,0.0235,0.9957
8.25,0.9777,0.01251,0.00697,0.005,0.0221,0.9976
8.5,1.0109,0.01294,0.00743,0.0045,0.0207,0.9995
8.75,1.0368,0.01334,0.00786,0.0056,0.0197,1.0
9.0,1.0595,0.0137,0.00827,0.0073,0.0188,1.0
9.25,1.0821,0.01411,0.00871,0.0091,0.0178,1.0
9.5,1.1045,0.01459,0.00922,0.0108,0.0169,1.0
9.75,1.1277,0.01505,0.00973,0.0124,0.0163,1.0
10.0,1.1512,0.01553,0.01028,0.014,0.0157,1.0
10.25,1.1745,0.01607,0.01088,0.0155,0.015,1.0
10.5,1.1972,0.01665,0.01152,0.0171,0.0144,1.0
