Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.0,-0.1787,0.08224,0.07179,-0.0051,1.0,0.8946
-6.5,-0.2713,0.0846,0.07482,0.0097,1.0,0.762
-6.25,-0.3189,0.08553,0.07609,0.0139,1.0,0.6881
-6.0,-0.365,0.08589,0.07681,0.0161,1.0,0.6155
-5.25,-0.4176,0.08075,0.07164,-0.0122,1.0,0.2068
-5.0,-0.4094,0.07716,0.06787,-0.0134,1.0,0.189
-4.75,-0.4023,0.07393,0.06453,-0.0124,1.0,0.1924
-4.5,-0.3936,0.07072,0.06116,-0.0119,1.0,0.1913
-4.25,-0.3811,0.06753,0.05766,-0.012,1.0,0.1822
-4.0,-0.3683,0.06434,0.05423,-0.0113,1.0,0.1767
-3.75,-0.3534,0.06168,0.05107,-0.0111,1.0,0.1713
-3.5,-0.3398,0.05889,0.04809,-0.0097,1.0,0.1734
-3.25,-0.3258,0.05652,0.04551,-0.0083,1.0,0.1805
-3.0,-0.3084,0.05433,0.04292,-0.0075,1.0,0.1835
-2.75,-0.2886,0.0521,0.04024,-0.0069,1.0,0.1823
-2.5,-0.2679,0.05008,0.03782,-0.0063,1.0,0.1813
-2.25,-0.2456,0.04829,0.03558,-0.0058,1.0,0.1809
-2.0,-0.2208,0.04675,0.03352,-0.0057,1.0,0.1814
-1.75,-0.1951,0.04548,0.03174,-0.0058,1.0,0.1873
-1.5,-0.1678,0.0443,0.03017,-0.0063,1.0,0.1951
-1.25,-0.1373,0.04334,0.02864,-0.0072,1.0,0.198
-1.0,-0.105,0.04251,0.0272,-0.0085,1.0,0.1995
-0.75,-0.0712,0.04172,0.02601,-0.0102,1.0,0.2018
-0.5,-0.0378,0.0411,0.02508,-0.012,1.0,0.2069
-0.25,-0.006,0.04071,0.0244,-0.0136,1.0,0.2169
0.0,0.0259,0.04041,0.02385,-0.0153,1.0,0.2255
0.25,0.0571,0.04025,0.0235,-0.0168,1.0,0.2301
0.5,0.0863,0.04018,0.02334,-0.0182,1.0,0.2355
0.75,0.1126,0.04034,0.02338,-0.0191,1.0,0.2424
1.0,0.1656,0.04049,0.02363,-0.0254,0.9875,0.2626
1.25,0.2216,0.04071,0.02397,-0.0322,0.9719,0.2835
1.5,0.2729,0.04072,0.02424,-0.038,0.9537,0.3077
1.75,0.3585,0.0398,0.02494,-0.0506,0.9415,1.0
2.0,0.4056,0.04055,0.02529,-0.0548,0.9199,1.0
2.25,0.4442,0.04116,0.02563,-0.0575,0.8956,1.0
2.5,0.481,0.04168,0.02597,-0.0598,0.8706,1.0
2.75,0.5177,0.04211,0.02627,-0.0619,0.8459,1.0
3.0,0.5587,0.04238,0.02647,-0.0644,0.8226,1.0
3.25,0.5947,0.04269,0.02675,-0.0659,0.7985,1.0
3.5,0.6316,0.04294,0.02703,-0.0674,0.7758,1.0
3.75,0.6713,0.04304,0.02717,-0.0691,0.755,1.0
4.0,0.7057,0.0433,0.02749,-0.0699,0.734,1.0
4.25,0.7422,0.0435,0.02783,-0.0709,0.7137,1.0
4.5,0.7806,0.04364,0.02808,-0.0721,0.6943,1.0
4.75,0.8093,0.04418,0.02874,-0.0719,0.6733,1.0
5.0,0.8493,0.04409,0.02879,-0.0727,0.6538,1.0
5.25,0.875,0.04471,0.02961,-0.0718,0.6306,1.0
5.5,0.9097,0.04437,0.02936,-0.0708,0.6018,1.0
5.75,0.9453,0.04366,0.02863,-0.0693,0.5675,1.0
6.0,0.9597,0.04422,0.02926,-0.066,0.5342,1.0
6.25,0.9781,0.04468,0.02979,-0.0634,0.5041,1.0
6.5,1.0002,0.04508,0.03036,-0.0612,0.4764,1.0
6.75,1.0245,0.04555,0.03081,-0.0594,0.4497,1.0
7.0,1.0486,0.04639,0.03158,-0.0578,0.4232,1.0
7.25,1.0705,0.0477,0.03286,-0.0563,0.3979,1.0
7.5,1.081,0.04968,0.03503,-0.054,0.3745,1.0
7.75,1.0957,0.05145,0.0369,-0.0521,0.3544,1.0
8.0,1.1051,0.05374,0.03944,-0.05,0.3383,1.0
8.25,1.1164,0.05594,0.04184,-0.0481,0.3247,1.0
8.5,1.1295,0.05791,0.04398,-0.0464,0.3126,1.0
8.75,1.1371,0.06023,0.04653,-0.0443,0.3015,1.0
9.0,1.1365,0.06328,0.04985,-0.0418,0.2922,1.0
9.25,1.1498,0.06541,0.05233,-0.0403,0.2843,1.0
9.5,1.1365,0.06993,0.05716,-0.0377,0.2788,1.0
9.75,1.1391,0.07315,0.06058,-0.036,0.2738,1.0
10.0,1.1273,0.07741,0.06501,-0.0336,0.2699,1.0
10.25,1.0853,0.08459,0.07227,-0.0316,0.2667,1.0
10.5,1.0544,0.09175,0.07929,-0.0316,0.2631,1.0
10.75,1.0619,0.09469,0.08256,-0.0307,0.2582,1.0
11.0,1.0205,0.10439,0.09198,-0.0333,0.2548,1.0
11.25,0.99,0.11346,0.10097,-0.0367,0.2506,1.0
11.5,0.9868,0.11827,0.10586,-0.0374,0.2461,1.0
11.75,0.9937,0.12179,0.10967,-0.0373,0.243,1.0
12.0,0.9729,0.1297,0.11736,-0.0403,0.2416,1.0
12.25,0.9603,0.13626,0.12392,-0.0427,0.2405,1.0
