Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.0,-0.6991,0.01964,0.01572,-0.1481,0.9436,0.0122
-13.5,-0.6514,0.01836,0.01428,-0.1501,0.9123,0.0123
-13.0,-0.631,0.01736,0.01306,-0.1466,0.8679,0.0124
-12.5,-0.6129,0.01612,0.01167,-0.1429,0.8485,0.0124
-12.0,-0.5796,0.01558,0.01105,-0.1405,0.8248,0.0125
-11.5,-0.5571,0.01445,0.00983,-0.1372,0.8178,0.0125
-11.0,-0.5287,0.0136,0.00891,-0.1342,0.8065,0.0125
-10.5,-0.4987,0.01291,0.00814,-0.1312,0.7913,0.0126
-10.0,-0.4724,0.01204,0.00719,-0.1276,0.7811,0.0128
-9.5,-0.4443,0.0113,0.00637,-0.1241,0.7711,0.013
-9.0,-0.4139,0.01063,0.00565,-0.1207,0.7622,0.0132
-8.5,-0.3853,0.01005,0.005,-0.1169,0.7505,0.0135
-8.0,-0.3552,0.0095,0.00443,-0.113,0.7467,0.014
-7.5,-0.3255,0.00917,0.00403,-0.1085,0.7301,0.0145
-7.0,-0.2928,0.00883,0.00368,-0.1043,0.7264,0.0149
-6.5,-0.2573,0.00857,0.00338,-0.1006,0.7151,0.0153
-6.0,-0.2206,0.00827,0.00307,-0.097,0.707,0.0172
-5.5,-0.1826,0.00805,0.00282,-0.0935,0.6968,0.0182
-5.0,-0.1445,0.00781,0.00258,-0.09,0.6866,0.0225
-4.5,-0.1118,0.00751,0.00232,-0.0854,0.6713,0.0439
-4.0,-0.0735,0.00736,0.00217,-0.0818,0.6537,0.0559
-3.5,-0.0347,0.00724,0.00204,-0.0783,0.6332,0.0659
-3.0,-0.0023,0.00726,0.00196,-0.0735,0.5869,0.0867
-2.5,0.0266,0.00732,0.00193,-0.068,0.5248,0.1224
-2.0,0.0554,0.00751,0.00198,-0.0626,0.4487,0.158
-1.5,0.0833,0.0075,0.002,-0.0572,0.3795,0.2425
-1.0,0.125,0.00739,0.002,-0.0546,0.3411,0.3194
-0.5,0.166,0.00748,0.00208,-0.0519,0.2895,0.379
0.0,0.2085,0.00745,0.00215,-0.0496,0.2416,0.4693
0.5,0.2558,0.00734,0.0022,-0.0481,0.2194,0.5526
1.0,0.2966,0.00765,0.00246,-0.0455,0.167,0.6072
1.5,0.3423,0.00798,0.00269,-0.0436,0.1378,0.6238
2.0,0.3875,0.00831,0.00295,-0.0417,0.1173,0.6342
2.5,0.437,0.00856,0.00314,-0.0407,0.1119,0.6339
3.0,0.4822,0.00895,0.00344,-0.0389,0.0907,0.6436
3.5,0.5293,0.00926,0.00373,-0.0375,0.0855,0.6485
4.0,0.5741,0.0097,0.00408,-0.0358,0.0698,0.6528
4.5,0.6218,0.01004,0.00439,-0.0346,0.0676,0.6591
5.0,0.6677,0.01042,0.00476,-0.0332,0.0649,0.6641
5.5,0.7154,0.01077,0.00511,-0.0321,0.0651,0.6693
6.0,0.762,0.01118,0.00552,-0.0309,0.064,0.6748
6.5,0.8074,0.01163,0.00596,-0.0296,0.0634,0.6762
7.0,0.8526,0.01212,0.00643,-0.0284,0.0616,0.6803
7.5,0.8957,0.01267,0.00701,-0.0269,0.0598,0.6909
8.0,0.9409,0.01317,0.00754,-0.0257,0.0608,0.6957
8.5,0.9845,0.01377,0.00812,-0.0244,0.0585,0.6997
9.0,1.0269,0.0144,0.00879,-0.023,0.0587,0.7066
9.5,1.0704,0.01501,0.00943,-0.0219,0.0583,0.7109
10.0,1.114,0.01562,0.01006,-0.0208,0.0573,0.7179
10.5,1.1557,0.01635,0.0108,-0.0195,0.0563,0.7197
11.0,1.1977,0.01704,0.01155,-0.0184,0.0546,0.7337
12.5,1.3066,0.02021,0.01468,-0.0135,0.043,0.7532
13.0,1.3455,0.02114,0.01566,-0.0124,0.0428,0.7598
13.5,1.3792,0.02246,0.01692,-0.0108,0.0384,0.7354
14.0,1.4179,0.02341,0.01805,-0.0098,0.0408,0.7781
14.5,1.4374,0.02563,0.02022,-0.0072,0.0298,0.7889
15.0,1.4589,0.02781,0.02238,-0.0049,0.0227,0.7986
15.5,1.4858,0.0297,0.02432,-0.0034,0.0212,0.8083
16.0,1.5158,0.03142,0.02611,-0.0022,0.0217,0.8171
