Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-20.0,-1.4316,0.42617,0.42617,-0.1,1.0,0.0
-19.5,-1.4516,0.40064,0.40064,-0.1,1.0,0.0
-19.0,-1.4716,0.37552,0.37552,-0.1,1.0,0.0
-18.5,-1.4916,0.35082,0.35082,-0.1,1.0,0.0
-18.0,-1.4692,0.02248,0.02248,-0.1,1.0,0.0
-17.5,-1.416,0.02169,0.02169,-0.1,1.0,0.0
-17.0,-1.3628,0.02093,0.02093,-0.1,1.0,0.0
-16.5,-1.3095,0.02019,0.02019,-0.1,1.0,0.0
-16.0,-1.2563,0.01947,0.01947,-0.1,1.0,0.0
-15.5,-1.2031,0.01878,0.01878,-0.1,1.0,0.0
-15.0,-1.1498,0.01811,0.01811,-0.1,1.0,0.0
-14.5,-1.0966,0.01746,0.01746,-0.1,1.0,0.0
-14.0,-1.0434,0.01683,0.01683,-0.1,1.0,0.0
-13.5,-0.9901,0.01623,0.01623,-0.1,1.0,0.0
-13.0,-0.9369,0.01565,0.01565,-0.1,1.0,0.0
-12.5,-0.8837,0.01509,0.01509,-0.1,1.0,0.0
-12.0,-0.8304,0.01456,0.01456,-0.1,1.0,0.0
-11.5,-0.7772,0.01404,0.01404,-0.1,1.0,0.0
-11.0,-0.724,0.01355,0.01355,-0.1,1.0,0.0
-10.5,-0.6707,0.01309,0.01309,-0.1,1.0,0.0
-10.0,-0.6175,0.01264,0.01264,-0.1,1.0,0.0
-9.5,-0.5643,0.01222,0.01222,-0.1,1.0,0.0
-9.0,-0.511,0.01182,0.01182,-0.1,1.0,0.0
-8.5,-0.4578,0.01144,0.01144,-0.1,1.0,0.0
-8.0,-0.4046,0.01109,0.01109,-0.1,1.0,0.0
-7.5,-0.3513,0.01076,0.01076,-0.1,1.0,0.0
-7.0,-0.2981,0.01045,0.01045,-0.1,1.0,0.0
-6.5,-0.2449,0.01016,0.01016,-0.1,1.0,0.0
-6.0,-0.1916,0.0099,0.0099,-0.1,1.0,0.0
-5.5,-0.1384,0.00966,0.00966,-0.1,1.0,0.0
