Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-30.0,-0.9107,0.3273,0.32617,0.0981,1.0,0.0031
-29.75,-0.9029,0.325,0.32387,0.0954,1.0,0.0031
-29.5,-0.8951,0.32261,0.32148,0.0927,1.0,0.0032
-29.25,-0.8872,0.32027,0.31914,0.09,1.0,0.0032
-29.0,-0.8794,0.31769,0.31655,0.0873,1.0,0.0032
-28.75,-0.8713,0.31529,0.31415,0.0846,1.0,0.0033
-28.5,-0.8634,0.31273,0.3116,0.082,1.0,0.0034
-28.25,-0.8554,0.31008,0.30894,0.0793,1.0,0.0034
-28.0,-0.8474,0.30744,0.3063,0.0767,1.0,0.0036
-27.75,-0.8397,0.30441,0.30327,0.0739,1.0,0.0037
-27.5,-0.8362,0.29787,0.29671,0.0704,1.0,0.0043
-27.25,-0.8293,0.29432,0.29315,0.0676,1.0,0.0043
-27.0,-0.8225,0.29086,0.2897,0.0647,1.0,0.0044
-26.75,-0.8143,0.28822,0.28705,0.0621,1.0,0.0045
-26.5,-0.8059,0.28563,0.28446,0.0596,1.0,0.0045
-26.25,-0.7974,0.28306,0.28189,0.0571,1.0,0.0045
-25.25,-0.8989,0.22165,0.22018,0.0237,1.0,0.0086
-25.0,-0.9113,0.21347,0.21194,0.018,1.0,0.0088
-24.75,-0.9222,0.20599,0.20441,0.0128,1.0,0.0089
-24.5,-0.9341,0.19851,0.19687,0.0075,1.0,0.009
-24.25,-0.9473,0.19088,0.18917,0.0022,1.0,0.0091
-24.0,-0.9622,0.18305,0.18127,-0.0032,1.0,0.0091
-23.75,-0.981,0.17457,0.17271,-0.0089,1.0,0.0092
-23.5,-1.0098,0.16435,0.16239,-0.0156,1.0,0.0092
-23.25,-1.0443,0.15342,0.15133,-0.0225,1.0,0.0093
-23.0,-1.1025,0.13849,0.13622,-0.0317,1.0,0.0093
-22.75,-1.1616,0.12428,0.12181,-0.04,1.0,0.0092
-22.5,-1.2226,0.11035,0.10768,-0.0479,1.0,0.0092
-22.25,-1.2658,0.09976,0.09692,-0.0537,1.0,0.0092
-22.0,-1.3008,0.09079,0.0878,-0.0586,1.0,0.0092
-21.75,-1.3287,0.08304,0.07992,-0.0627,1.0,0.0092
-21.5,-1.3473,0.07685,0.07362,-0.0659,1.0,0.0093
-21.25,-1.3627,0.07123,0.0679,-0.0688,1.0,0.0093
-21.0,-1.3735,0.06634,0.06292,-0.0712,1.0,0.0093
-20.75,-1.3821,0.06186,0.05835,-0.0733,1.0,0.0093
-20.5,-1.3869,0.05802,0.05443,-0.075,1.0,0.0094
-20.25,-1.3892,0.05454,0.05088,-0.0765,1.0,0.0094
-20.0,-1.3897,0.05138,0.04766,-0.0777,1.0,0.0095
-19.75,-1.3893,0.04844,0.04466,-0.0788,1.0,0.0095
-19.5,-1.3871,0.04577,0.04193,-0.0796,1.0,0.0095
-19.25,-1.3835,0.04333,0.03944,-0.0803,1.0,0.0096
-19.0,-1.3781,0.04116,0.03721,-0.0808,1.0,0.0096
-18.75,-1.3726,0.03907,0.03507,-0.0812,1.0,0.0096
-18.5,-1.3661,0.0371,0.03305,-0.0815,1.0,0.0097
-18.25,-1.3563,0.03538,0.03128,-0.0821,0.9816,0.0097
-18.0,-1.3503,0.03379,0.02957,-0.0816,0.9476,0.0098
-17.75,-1.3427,0.03234,0.02801,-0.0812,0.9261,0.0098
-17.5,-1.3334,0.03096,0.02653,-0.0809,0.9114,0.0098
-17.0,-1.3114,0.02841,0.02384,-0.0805,0.8893,0.0099
-16.5,-1.2858,0.02615,0.02145,-0.0801,0.872,0.01
-16.25,-1.272,0.0251,0.02033,-0.0799,0.8644,0.01
-16.0,-1.2571,0.02413,0.01931,-0.0796,0.857,0.0101
-15.75,-1.242,0.02318,0.01831,-0.0794,0.852,0.0101
-15.5,-1.2256,0.02232,0.01741,-0.0792,0.8456,0.0102
-15.0,-1.1916,0.02071,0.01571,-0.0788,0.8336,0.0102
-14.75,-1.1739,0.01996,0.01491,-0.0786,0.8278,0.0103
-14.5,-1.1556,0.01926,0.01417,-0.0783,0.8212,0.0103
-14.25,-1.1369,0.01859,0.01345,-0.0781,0.8159,0.0103
-14.0,-1.1181,0.01793,0.01277,-0.0778,0.8115,0.0104
-13.75,-1.1007,0.01734,0.01213,-0.0772,0.8059,0.0104
-13.5,-1.081,0.01679,0.01154,-0.077,0.8,0.0104
-13.25,-1.0578,0.01625,0.01097,-0.0774,0.7961,0.0105
-13.0,-1.034,0.01566,0.01036,-0.0779,0.7932,0.0106
-12.75,-1.0091,0.01511,0.00977,-0.0785,0.7899,0.0107
-12.5,-0.9834,0.01463,0.00926,-0.0791,0.7863,0.0109
-12.25,-0.9575,0.01421,0.00882,-0.0796,0.7826,0.0111
-12.0,-0.931,0.01384,0.00843,-0.08,0.7786,0.0113
-11.75,-0.9041,0.01349,0.00806,-0.0804,0.7765,0.0114
-11.5,-0.8768,0.01315,0.00772,-0.0809,0.7745,0.0116
-11.25,-0.8491,0.01283,0.00739,-0.0814,0.7723,0.0117
-11.0,-0.8212,0.01253,0.00708,-0.0819,0.7697,0.0119
-10.75,-0.793,0.01224,0.00679,-0.0825,0.767,0.0121
-10.5,-0.7645,0.01198,0.00651,-0.083,0.764,0.0122
-10.25,-0.7359,0.01172,0.00624,-0.0836,0.7605,0.0124
-10.0,-0.7069,0.01147,0.00598,-0.0842,0.7576,0.0125
-9.75,-0.6777,0.01123,0.00573,-0.0848,0.7561,0.0127
-9.5,-0.6483,0.011,0.0055,-0.0855,0.7542,0.0128
-9.25,-0.6187,0.01078,0.00528,-0.0861,0.7522,0.0129
-9.0,-0.589,0.01057,0.00507,-0.0868,0.7499,0.013
-8.75,-0.5592,0.01034,0.00483,-0.0875,0.7475,0.0133
-8.5,-0.5293,0.01013,0.00461,-0.0882,0.745,0.0137
-8.25,-0.4993,0.00992,0.00441,-0.0889,0.7422,0.0141
-8.0,-0.469,0.00974,0.00422,-0.0896,0.7392,0.0145
