Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-30.0,-1.227,0.23242,0.23035,0.0617,1.0002,0.018
-29.75,-1.2264,0.22894,0.22684,0.0583,1.0002,0.0183
-29.5,-1.2291,0.22491,0.22278,0.0546,1.0002,0.0187
-29.25,-1.23,0.22119,0.21903,0.0511,1.0002,0.019
-29.0,-1.2295,0.21786,0.21566,0.0481,1.0002,0.0192
-28.75,-1.2329,0.21363,0.21138,0.0443,1.0002,0.0193
-28.5,-1.2339,0.20993,0.20765,0.041,1.0002,0.0196
-28.25,-1.2421,0.20482,0.20249,0.0367,1.0002,0.02
-28.0,-1.2509,0.19962,0.19723,0.0324,1.0002,0.0205
-27.75,-1.2532,0.19573,0.19331,0.0292,1.0002,0.0207
-27.5,-1.2621,0.19066,0.18818,0.0251,1.0002,0.0211
-27.25,-1.2641,0.18682,0.18431,0.0219,1.0002,0.0214
-27.0,-1.273,0.18183,0.17926,0.0181,1.0002,0.0217
-26.75,-1.2753,0.17795,0.17533,0.015,1.0002,0.022
-26.5,-1.2833,0.17305,0.17038,0.0113,1.0002,0.0222
-26.25,-1.2877,0.16886,0.16614,0.0082,1.0002,0.0224
-26.0,-1.2984,0.16361,0.16082,0.0045,1.0002,0.0228
-25.75,-1.3114,0.15805,0.15519,0.0006,1.0002,0.0232
-25.5,-1.319,0.15347,0.15056,-0.0024,1.0002,0.0235
-25.25,-1.3311,0.14818,0.14521,-0.0059,1.0002,0.0238
-25.0,-1.3445,0.14273,0.13969,-0.0093,1.0002,0.0241
-24.75,-1.3513,0.13836,0.13526,-0.0119,1.0002,0.0244
-24.5,-1.3644,0.13307,0.12989,-0.015,1.0002,0.0246
-24.25,-1.3785,0.1277,0.12445,-0.0179,1.0002,0.0249
-24.0,-1.3856,0.12345,0.12015,-0.0202,1.0002,0.0251
-23.75,-1.3989,0.11825,0.11486,-0.0229,1.0002,0.0253
-23.5,-1.4128,0.11304,0.10957,-0.0254,1.0002,0.0254
-23.25,-1.4222,0.10855,0.10502,-0.0275,1.0002,0.0256
-23.0,-1.4377,0.10329,0.09968,-0.0298,1.0002,0.026
-22.75,-1.453,0.09804,0.09435,-0.0321,1.0002,0.0263
-22.5,-1.4678,0.09292,0.08916,-0.0341,1.0002,0.0266
-22.25,-1.4809,0.08815,0.08431,-0.036,1.0002,0.0269
-22.0,-1.4904,0.08386,0.07996,-0.0375,1.0002,0.0273
-21.75,-1.5014,0.07941,0.07543,-0.0391,1.0002,0.0276
-21.5,-1.5115,0.07513,0.07108,-0.0405,1.0002,0.028
-21.25,-1.5202,0.07108,0.06696,-0.0418,1.0002,0.0282
-21.0,-1.525,0.06754,0.06336,-0.0429,1.0002,0.0285
-20.75,-1.5289,0.06414,0.05989,-0.0438,1.0002,0.0287
-20.5,-1.5339,0.06065,0.05634,-0.0447,1.0002,0.029
