Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.0,-0.5659,0.13069,0.12916,0.0155,1.0,0.004
-11.75,-0.5644,0.12603,0.12451,0.0134,1.0,0.004
-11.5,-0.5632,0.1214,0.11988,0.0112,1.0,0.0041
-11.25,-0.5636,0.11638,0.11487,0.0089,1.0,0.0042
-11.0,-0.5661,0.11097,0.10947,0.0063,1.0,0.0042
-10.75,-0.5732,0.10486,0.10336,0.0033,0.9756,0.0043
-10.5,-0.5852,0.0986,0.09709,0.0007,0.9624,0.0045
-10.25,-0.6076,0.09014,0.08863,-0.0035,0.9522,0.0046
-10.0,-0.6449,0.07871,0.07717,-0.0113,0.9409,0.0047
-9.5,-0.7474,0.05313,0.0512,-0.0282,0.9094,0.0045
-9.25,-0.8209,0.0348,0.03198,-0.0261,0.8963,0.0044
-9.0,-0.8575,0.02208,0.01819,-0.0206,0.8867,0.0045
-8.75,-0.8417,0.01946,0.0152,-0.0187,0.8806,0.0047
-8.5,-0.8205,0.01779,0.01326,-0.0172,0.874,0.005
-8.25,-0.7972,0.01655,0.01179,-0.0159,0.8678,0.0053
-8.0,-0.772,0.01555,0.01061,-0.0148,0.8615,0.0056
-7.75,-0.7464,0.01467,0.00958,-0.0138,0.8553,0.006
-7.5,-0.7199,0.01396,0.00874,-0.0129,0.8497,0.0066
-7.25,-0.6929,0.01334,0.00801,-0.0121,0.8432,0.0073
-7.0,-0.6656,0.01283,0.0074,-0.0113,0.8371,0.0081
-6.75,-0.6376,0.0124,0.0069,-0.0107,0.8304,0.0091
-6.5,-0.6097,0.01198,0.00639,-0.01,0.8238,0.01
-6.25,-0.5812,0.01166,0.00602,-0.0095,0.818,0.0109
-6.0,-0.5526,0.01138,0.00569,-0.0091,0.8109,0.0118
-5.75,-0.5241,0.01109,0.00532,-0.0086,0.8043,0.0127
-5.5,-0.4952,0.01085,0.00504,-0.0082,0.7979,0.0135
-5.25,-0.4662,0.01066,0.00481,-0.0078,0.7923,0.0143
-5.0,-0.4371,0.01045,0.00456,-0.0075,0.7873,0.0151
-4.75,-0.4082,0.01022,0.00428,-0.0072,0.7819,0.0159
-4.25,-0.3502,0.00986,0.00385,-0.0066,0.7666,0.0175
-4.0,-0.3209,0.00977,0.00372,-0.0064,0.757,0.0188
-3.75,-0.2915,0.00964,0.00356,-0.0062,0.7485,0.0198
-3.5,-0.2626,0.00946,0.00332,-0.006,0.7408,0.0207
-3.25,-0.234,0.00923,0.00307,-0.0057,0.731,0.0217
-3.0,-0.205,0.00906,0.00286,-0.0055,0.7202,0.0224
-2.75,-0.1759,0.00891,0.00266,-0.0053,0.7083,0.0231
-2.5,-0.1469,0.00878,0.00247,-0.0051,0.6945,0.0239
-2.25,-0.1177,0.00867,0.00231,-0.0049,0.6793,0.0246
-2.0,-0.0886,0.00857,0.00215,-0.0048,0.6623,0.0252
-1.75,-0.0598,0.00847,0.00196,-0.0046,0.6399,0.0263
-1.5,-0.0308,0.00842,0.00184,-0.0045,0.6149,0.0274
-1.25,-0.0019,0.00844,0.00175,-0.0044,0.5778,0.0286
-1.0,0.0267,0.00857,0.00168,-0.0044,0.5261,0.0296
-0.75,0.0549,0.00878,0.00166,-0.0043,0.462,0.0307
-0.5,0.0833,0.0089,0.00164,-0.0042,0.4176,0.0334
-0.25,0.1113,0.00912,0.00164,-0.0042,0.3573,0.0373
0.0,0.1395,0.00925,0.00165,-0.0041,0.3161,0.0463
0.25,0.167,0.0092,0.00164,-0.0038,0.2909,0.0935
0.5,0.1935,0.00902,0.00164,-0.0035,0.2684,0.1901
0.75,0.2179,0.0086,0.00163,-0.0028,0.2513,0.3545
1.0,0.2344,0.00756,0.00158,-0.0006,0.2417,0.6768
1.25,0.2521,0.00687,0.00168,0.0022,0.2328,0.915
1.5,0.3109,0.00712,0.00193,-0.0043,0.2208,0.9569
1.75,0.3471,0.00731,0.00207,-0.0058,0.2127,0.9679
2.0,0.3828,0.00753,0.00221,-0.0071,0.2041,0.9757
2.25,0.4212,0.00771,0.00234,-0.0091,0.1971,0.9798
2.5,0.4514,0.00789,0.00245,-0.0094,0.1891,0.9838
2.75,0.4842,0.00801,0.00253,-0.0102,0.1823,0.9849
3.0,0.518,0.00816,0.00262,-0.0113,0.1751,0.9858
3.25,0.5517,0.00829,0.00271,-0.0124,0.1698,0.9868
3.5,0.5848,0.00843,0.00281,-0.0133,0.1644,0.9878
3.75,0.6169,0.0086,0.00293,-0.0141,0.1576,0.989
4.0,0.6488,0.00873,0.00303,-0.0147,0.1523,0.9902
4.25,0.68,0.00891,0.00316,-0.0153,0.1457,0.9914
4.5,0.711,0.00906,0.0033,-0.0157,0.1418,0.9927
4.75,0.7415,0.00922,0.00344,-0.0161,0.1379,0.994
5.0,0.7743,0.0094,0.00358,-0.0169,0.1335,0.9946
5.25,0.8071,0.00957,0.00374,-0.0178,0.1294,0.9953
5.5,0.8395,0.00972,0.00388,-0.0186,0.1268,0.996
5.75,0.8713,0.00989,0.00405,-0.0192,0.1237,0.9967
6.0,0.9028,0.01009,0.00423,-0.0198,0.1198,0.9975
6.25,0.9347,0.0103,0.00442,-0.0205,0.116,0.9983
6.5,0.967,0.01048,0.00461,-0.0212,0.1136,0.9991
6.75,0.999,0.01068,0.00482,-0.0219,0.1109,0.9997
7.0,1.0274,0.0109,0.00504,-0.0218,0.1084,1.0
7.25,1.0523,0.01113,0.00526,-0.0209,0.1058,1.0
7.5,1.077,0.01135,0.00551,-0.02,0.1034,1.0
7.75,1.102,0.01155,0.00573,-0.0191,0.1021,1.0
8.0,1.1268,0.01177,0.00597,-0.0182,0.1003,1.0
8.25,1.1512,0.01201,0.00623,-0.0172,0.0975,1.0
8.5,1.175,0.0123,0.00651,-0.0162,0.094,1.0
8.75,1.1988,0.01258,0.00681,-0.0151,0.0908,1.0
9.0,1.2228,0.01283,0.00709,-0.014,0.0876,1.0
9.25,1.2459,0.01315,0.00741,-0.0128,0.083,1.0
9.5,1.2684,0.0135,0.00776,-0.0116,0.0782,1.0
9.75,1.2902,0.01388,0.00813,-0.0102,0.0712,1.0
10.0,1.3107,0.01436,0.00858,-0.0086,0.0637,1.0
10.25,1.33,0.01489,0.00909,-0.0069,0.057,1.0
10.5,1.3493,0.01539,0.00961,-0.0051,0.0529,1.0
10.75,1.368,0.01591,0.01015,-0.0033,0.0491,1.0
11.0,1.3869,0.01639,0.01066,-0.0015,0.0464,1.0
11.25,1.4032,0.017,0.0113,0.0007,0.0429,1.0
11.5,1.4199,0.01755,0.01189,0.0028,0.0401,1.0
11.75,1.4366,0.01807,0.01245,0.0049,0.0371,1.0
12.25,1.4541,0.01944,0.01387,0.0115,0.0302,1.0
12.5,1.4631,0.02028,0.01474,0.0143,0.0271,1.0
12.75,1.4746,0.0211,0.01562,0.0167,0.0251,1.0
13.0,1.4852,0.02206,0.01664,0.0189,0.0231,1.0
13.25,1.4951,0.02314,0.01777,0.021,0.0213,1.0
